ReviewID;CustomerID;ProductID;ReviewDate;Rating;ReviewText;SentimentScore;SentimentCategory;SentimentBucket
1;77;18;23/12/2023;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
2;80;19;25/12/2024;5;The quality is  top-notch.;0.0;Positive;0.0 to 4.9
3;50;13;26/01/2025;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
4;78;15;21/04/2025;3;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
5;64;2;16/07/2023;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
6;81;1;21/12/2025;4;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
7;16;1;29/01/2024;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
8;55;8;15/08/2024;5;The quality  is top-notch.;0.0;Positive;0.0 to 4.9
9;3;13;1/09/2023;4;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
10;78;6;17/06/2024;5;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
11;54;9;17/07/2023;4;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
12;77;2;13/01/2025;2;Product did  not meet my expectations.;0.0;Negative;0.0 to 4.9
13;93;6;20/08/2024;5;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
14;23;2;16/06/2025;4;Good quality, but could be cheaper.;0.2382;Positive;0.5 to 1.0
15;29;11;27/01/2023;5;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
16;95;17;6/01/2023;5;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
17;88;4;29/10/2025;3;Not worth the money.;-0.1695;Mixed Positive;-1.0 to -0.5
18;17;16;23/11/2024;4;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 4.9
19;34;13;4/01/2024;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
20;34;6;29/04/2023;1;I had a bad experience with this product.;-0.5423;Mixed Negative;-1.0 to -0.5
21;22;15;8/04/2023;5;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
22;52;3;30/10/2025;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
23;69;18;2/07/2023;5;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
24;100;4;18/07/2025;3;I love this  product, will buy again!;0.6696;Mixed Positive;0.5 to 1.0
25;55;20;19/12/2024;4;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 4.9
26;76;11;21/08/2024;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
27;56;6;24/11/2025;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
28;76;8;27/05/2025;5;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
29;38;13;31/05/2023;4;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
30;84;6;18/03/2024;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
31;93;4;25/08/2025;3;Good quality, but could be  cheaper.;0.2382;Mixed Positive;0.5 to 1.0
32;91;1;15/07/2023;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
33;30;2;21/02/2023;4;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 4.9
34;81;15;30/03/2024;5;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
35;27;12;13/03/2024;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
36;96;9;5/12/2025;3;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
37;38;3;11/09/2023;3;Average experience, nothing  special.;-0.3089;Mixed Positive;-1.0 to -0.5
38;45;17;7/05/2024;5;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
39;54;1;2/10/2023;5;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
40;33;2;3/01/2025;5;Five stars  for the quick delivery.;0.0;Positive;0.0 to 4.9
41;93;17;15/05/2025;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
42;72;15;21/03/2023;5;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
43;84;15;2/02/2025;4;Exceeded my  expectations!;0.0;Positive;0.0 to 4.9
44;44;17;20/04/2023;5;Excellent product,  highly recommend!;0.7773;Positive;0.5 to 1.0
45;11;16;23/03/2023;3;Not worth the money.;-0.1695;Mixed Positive;-1.0 to -0.5
46;27;5;7/05/2025;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
47;19;13;1/06/2024;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
48;70;17;8/10/2023;4;Shipping was fast and the item  was well-packaged.;0.0;Positive;0.0 to 4.9
49;3;7;9/06/2025;3;Good quality, but could  be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
50;62;4;7/01/2023;1;The product stopped working after a month.;-0.2263;Mixed Negative;-1.0 to -0.5
51;49;17;14/04/2023;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
52;75;11;7/04/2024;4;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
53;73;18;28/12/2025;4;Five stars for  the quick delivery.;0.0;Positive;0.0 to 4.9
54;33;8;3/05/2023;5;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
55;57;9;3/11/2025;3;Customer support was  very helpful.;0.6997;Mixed Positive;0.5 to 1.0
56;15;10;11/12/2025;3;Shipping was fast and the item was well-packaged.;0.0;Neutral;0.0 to 4.9
57;41;10;6/04/2024;2;Disappointed with the performance.;-0.4767;Mixed Negative;-1.0 to -0.5
58;78;7;16/07/2024;2;The product  is okay, but the instructions were unclear.;-0.2617;Mixed Negative;-1.0 to -0.5
59;98;9;1/09/2024;4;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
60;11;16;27/12/2023;4;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
61;50;19;24/02/2023;4;Great purchase,  very satisfied.;0.8016;Positive;0.5 to 1.0
62;35;17;18/03/2023;2;Average experience, nothing special.;-0.3089;Mixed Negative;-1.0 to -0.5
63;93;2;5/01/2025;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
64;86;11;30/10/2025;4;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
65;34;3;15/06/2024;1;Not worth the money.;-0.1695;Mixed Negative;-1.0 to -0.5
66;94;16;17/06/2023;4;I love this product, will buy  again!;0.6696;Positive;0.5 to 1.0
67;67;13;12/04/2025;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
68;38;7;23/03/2023;3;The product is okay, but the instructions were unclear.;-0.2617;Mixed Positive;-1.0 to -0.5
69;77;12;3/08/2025;3;Five stars for the quick delivery.;0.0;Neutral;0.0 to 4.9
70;93;5;30/01/2024;4;Shipping was fast  and the item was well-packaged.;0.0;Positive;0.0 to 4.9
71;24;11;28/07/2025;3;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
72;29;4;29/05/2023;5;The  build quality is impressive.;0.5106;Positive;0.5 to 1.0
73;68;19;5/05/2025;5;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
74;59;9;16/05/2023;3;The product is okay, but the instructions were unclear.;-0.2617;Mixed Positive;-1.0 to -0.5
75;22;3;13/01/2024;5;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 4.9
76;9;10;31/08/2025;4;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
77;74;5;15/03/2023;4;Great purchase,  very satisfied.;0.8016;Positive;0.5 to 1.0
78;6;10;9/12/2024;5;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
79;84;15;28/05/2024;2;The product arrived  late.;0.0;Negative;0.0 to 4.9
80;98;16;24/05/2025;3;Not worth the money.;-0.1695;Mixed Positive;-1.0 to -0.5
81;3;19;4/09/2024;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
82;78;13;2/05/2023;4;Shipping  was fast and the item was well-packaged.;0.0;Positive;0.0 to 4.9
83;32;11;26/05/2025;4;The quality is  top-notch.;0.0;Positive;0.0 to 4.9
84;40;20;17/07/2023;4;Good quality, but could be cheaper.;0.2382;Positive;0.5 to 1.0
85;17;6;25/10/2025;5;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
86;78;3;6/10/2025;5;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
